College,SAT,Acceptance Rate,Earnings 6 yrs after entry,Share First Generation,Retention Rate,Student Faculty Ratio,Mean Net Price,Diversity,Students with Loans,Faculty Salary
Palm Beach State College,,,32904,0.4944391484,,27,8999,0.7293000000000001,0.1736193211,6417
Palo Alto University,,,59057,0.4705882353,,12,,0.7345999999999999,0.825,13014
Pardee RAND Graduate School,,,,,,,,0.0,,
Park University,,0.4552,38520,0.5022521408,0.6226,39,28883,0.5592,0.8188157573,8479
Parker University,,,28439,0.449031171,,15,8407,0.0833,0.5993883792,6099
Paul Quinn College,,0.8738,26702,0.4846938776,0.7037,23,5529,0.9922,0.6257928118,5846
Paul Smith's College,,0.7471,36990,0.2969348659,0.7483,14,24992,0.16549999999999998,0.957952468,5634
Peirce College,,,37796,0.5548628429,1.0,11,13714,0.8032999999999999,0.8607108549,6875
Penn State College of Medicine,,,52102,0.2875652533,,,,0.0,0.9024450049,
Penn State University,,,52102,0.2875652533,,,,0.0,0.9024450049,
Pennsylvania Academy of the Fine Arts,,0.8361,24265,,0.8421,4,28479,0.38029999999999997,,5988
Pennsylvania College of Art and Design,,0.5134,27799,,0.75,9,25806,0.37379999999999997,,4426
Pennsylvania College of Health Sciences,,0.4909,61417,0.4654939107,0.5577,13,36658,0.33809999999999996,0.927960928,7392
Pennsylvania College of Technology,,,43486,0.3634732687,0.7647,14,25028,0.1376,0.9137412237,9874
Pensacola State College,,,29307,0.4935842601,,22,2918,0.4175,0.1835651075,5213
Pepperdine University,1342,0.5271,59226,0.1761658031,0.9338,13,35167,0.5349,0.9139465875,12961
Peru State College,,,38712,0.4155844156,0.5415,20,15652,0.28409999999999996,0.8452380952,7272
Pfeiffer University,1070,0.7176,40783,0.3333333333,0.6879,11,19182,0.41800000000000004,0.9393939394,6995
Philander Smith College,,,26301,0.4303405573,0.5484,12,14847,0.9972,0.7739463602,5891
Piedmont College,,,30254,0.4736147757,0.6358,13,5239,0.44420000000000004,,5469
Pillar College,,,31714,0.5873015873,0.7097,10,21481,0.9653,0.6996996997,6671
Pittsburg State University,1070,0.9364,41069,0.3232231779,0.7544,15,14255,0.18830000000000002,0.8754732857,7427
Pitzer College,,0.1831,50394,0.23,0.9315,12,18206,0.49910000000000004,0.8564814815,11766
Plaza College,,0.3,29431,0.4835164835,,28,16770,0.8935000000000001,0.8497560976,6134
Plymouth State University,,0.9167,41894,0.2702251877,0.6427,18,20086,0.1993,0.9680094787,8730
Point Loma Nazarene University,1256,0.8366,51100,0.2931174089,0.8412,15,33537,0.4733,0.9085501859,10559
Point Park University,1077,0.8232,38294,0.292798111,0.7303,12,24209,0.29810000000000003,0.9528907923,8900
Point University,,,28684,0.4722883373,,9,,0.6577999999999999,0.8261023678,
Polk State College,,,32287,0.5143329658,0.6667,20,7994,0.5513,0.2391653291,6459
Pomona College,,,34386,0.5516005733,0.5882,26,31223,0.8281,0.9008356546,6432
Portland State University,1099,0.9843,44981,0.391093011,0.757,19,13334,0.5008,0.8105820106,10304
Post University,,,29592,0.5676708303,0.4534,21,22820,0.6059,0.8652638921,6459
Pratt Institute,1315,0.6786,42375,0.1925777332,0.8841,10,45816,0.6640999999999999,0.9566037736,11643
Presbyterian College,1123,0.7098,43373,0.1975609756,0.7572,11,21962,0.34370000000000006,0.8581560284,8140
Prescott College,,0.9932,34529,0.2319587629,0.75,9,14226,0.3211,0.8937198068,5070
Presentation College,1019,0.9373,51793,0.3462962963,0.5065,11,28112,0.3638,0.9589490969,5074
Princeton University,1517,0.0438,88273,0.2773972603,0.9642,5,11080,0.615,0.2407704655,21673
Principia College,1138,0.8406,,,0.8125,5,,0.4276,,8112
Providence Christian College,,0.825,,0.3025210084,0.619,10,22004,0.5935999999999999,,6646
Providence College,1246,0.5798,62560,0.1464401294,0.9167,11,36611,0.2277,0.9750778816,11080
Purdue University,1114,0.832,38842,0.3519736842,0.5739,13,10455,0.28130000000000005,0.7607788595,6259
Purdue University Fort Wayne,1114,0.832,38842,0.3519736842,0.5739,13,10455,0.28130000000000005,0.7607788595,6259
Purdue University Northwest,1098,0.7636,42371,0.430293896,0.6012,15,9477,0.43349999999999994,0.7614058804,9035
Queens University of Charlotte,1159,0.692,43145,0.2190332326,0.6939,9,28764,0.4597,0.9287749288,7925
Quincy University,1162,0.598,40092,0.3300492611,0.6866,14,16178,0.2815,0.9566563467,5875
Quinnipiac University,,0.8812,65742,0.1993603412,0.8719,12,36964,0.2561,0.9757679181,11292
Radford University,1054,0.9531,44264,0.3143638851,0.6672,13,16605,0.36610000000000004,0.9384380565,8887
Ramapo College of New Jersey,1197,0.701,52446,0.3128865979,0.8693,15,15232,0.42769999999999997,0.9398674242,11250
Randolph College,1071,0.938,39553,0.2626865672,0.7153,8,21985,0.4504,0.9435028249,8190
Randolph-Macon College,1071,0.938,39553,0.2626865672,0.7153,8,21985,0.4504,0.9435028249,8190
Rasmussen University,,,35866,0.4757427831,,,,0.0,0.9025012762,
Reed College,,0.4381,41026,,0.876,9,33895,0.4083,0.9483695652,10099
Regent University,1130,0.4071,37590,0.4198855508,0.7361,21,17120,0.5052,0.8421052632,8376
Regis College,1174,0.8137,60613,0.36,0.7921,10,23916,0.5008,0.8892421834,7471
Regis University,1174,0.8137,60613,0.36,0.7921,10,23916,0.5008,0.8892421834,7471
Reinhardt University,,0.704,37952,0.365456821,0.6055,12,23843,0.3502,0.909610984,5840
Relay Graduate School of Education,,,,,,,,0.0,,
Rensselaer Polytechnic Institute,1450,0.5302,83825,0.1374501992,0.8921,13,31456,0.5735,0.9682692308,13262
Research College of Nursing,,,72112,,,6,,0.2857,,7288
Rhode Island College,,0.8483,41889,0.4470872113,0.7368,13,10986,0.46690000000000004,0.8507551081,11097
Rhode Island School of Design,1399,0.1868,49482,0.1055155875,0.9469,9,44371,0.7651,0.9392523364,10505
Rhodes College,,,35097,0.4724809483,0.6482,16,11518,0.17259999999999998,0.6089992242,5512
Richmont Graduate University,,,,,,,,0.0,,5844
Rider University,1194,0.8195,50668,0.294011976,0.7698,10,22316,0.46090000000000003,0.9502762431,11180
Ringling College of Art and Design,,0.6873,38594,0.1683168317,0.8318,12,50747,0.5575,0.9242424242,8913
Ripon College,1153,0.7977,38862,0.2808022923,0.722,14,18114,0.19240000000000002,0.9577836412,7584
Rivier University,,0.8368,43508,0.3735795455,0.7952,17,26195,0.2691,0.9702842377,7312
Roanoke College,,,25742,0.5555555556,0.3889,13,7228,0.7153,,6014
Robert Morris University,,0.9395,49836,0.3001745201,0.7893,13,24224,0.24530000000000002,0.9357798165,12823
Roberts Wesleyan University,1154,0.8739,47821,0.2720306513,0.7897,13,25860,0.3281,0.94,6780
Rochester Institute of Technology,1369,0.7136,61886,0.194684529,0.8753,13,30765,0.36019999999999996,0.9394995898,10756
Rochester University,,0.9809,37499,0.4059233449,0.5684,11,26137,0.35040000000000004,0.9136577708,6224
Rockford University,1014,0.6678,43113,0.4183864916,0.6611,10,23040,0.5406,0.9180887372,6142
Rockhurst University,1139,0.6666,55483,0.2060702875,0.7703,13,20942,0.3781,0.9589041096,7434
Rocky Mountain College,,,34667,0.3349514563,0.6,10,24132,0.4012,0.8921282799,4556
Rocky Mountain College of Art and Design,,,34667,0.3349514563,0.6,10,24132,0.4012,0.8921282799,4556
Rocky Mountain University of Health Professions,,,,,,,,0.0,,9190
Rocky Vista University,,,,,,,,0.0,,8972
Roger Williams University,,0.9098,53795,0.1965909091,0.8109,14,37384,0.2508,0.9741100324,12483
Rogers State University,,,34886,0.425519955,0.5487,17,13361,0.4678,0.7287098419,5649
Rollins College,,0.4869,42072,0.2375328084,0.8333,11,23885,0.43270000000000003,0.875,9662
Roosevelt University,1030,0.9229,40184,0.3683794466,0.5154,11,24251,0.6493000000000001,0.926419061,8310
Rosalind Franklin University of Medicine and Science,,,,,,,,0.0,,11797
Rose-Hulman Institute of Technology,1385,0.774,84392,0.1438016529,0.9112,11,36277,0.3301,0.957996769,11162
